filename,width,height,class,xmin,ymin,xmax,ymax
pitcher_000086.jpg,640,480,pitcher,272,96,445,352
pitcher_000082.jpg,640,480,pitcher,257,94,444,354
pitcher_000060.jpg,640,480,pitcher,217,69,447,331
pitcher_000167.jpg,640,480,pitcher,223,154,402,397
pitcher_000019.jpg,640,480,pitcher,249,90,428,351
pitcher_000041.jpg,640,480,pitcher,267,45,443,311
pitcher_000145.jpg,640,480,pitcher,262,169,484,386
pitcher_000147.jpg,640,480,pitcher,248,174,488,392
pitcher_000076.jpg,640,480,pitcher,194,81,418,322
pitcher_000140.jpg,640,480,pitcher,253,171,463,379
pitcher_000069.jpg,640,480,pitcher,229,67,399,331
pitcher_000107.jpg,640,480,pitcher,219,106,439,371
pitcher_000157.jpg,640,480,pitcher,245,145,417,394
pitcher_000112.jpg,640,480,pitcher,213,109,399,367
pitcher_000050.jpg,640,480,pitcher,230,64,454,327
pitcher_000016.jpg,640,480,pitcher,239,85,443,355
pitcher_000161.jpg,640,480,pitcher,234,154,409,390
pitcher_000143.jpg,640,480,pitcher,260,165,480,407
pitcher_000006.jpg,640,480,pitcher,253,97,492,341
pitcher_000077.jpg,640,480,pitcher,188,82,437,342
pitcher_000139.jpg,640,480,pitcher,257,164,458,396
pitcher_000061.jpg,640,480,pitcher,202,76,445,344
pitcher_000056.jpg,640,480,pitcher,203,64,459,339
pitcher_000075.jpg,640,480,pitcher,199,94,412,321
pitcher_000062.jpg,640,480,pitcher,210,70,428,316
pitcher_000029.jpg,640,480,pitcher,230,71,450,325
pitcher_000093.jpg,640,480,pitcher,250,110,438,372
pitcher_000074.jpg,640,480,pitcher,195,85,407,322
pitcher_000032.jpg,640,480,pitcher,254,72,442,315
pitcher_000064.jpg,640,480,pitcher,219,66,400,336
pitcher_000149.jpg,640,480,pitcher,248,176,490,384
pitcher_000044.jpg,640,480,pitcher,240,64,452,310
pitcher_000114.jpg,640,480,pitcher,210,120,402,346
pitcher_000100.jpg,640,480,pitcher,224,111,452,357
pitcher_000160.jpg,640,480,pitcher,234,149,422,396
pitcher_000127.jpg,640,480,pitcher,237,125,443,365
pitcher_000130.jpg,640,480,pitcher,237,132,440,387
pitcher_000132.jpg,640,480,pitcher,265,120,438,381
pitcher_000020.jpg,640,480,pitcher,250,91,437,354
pitcher_000079.jpg,640,480,pitcher,224,92,418,340
pitcher_000118.jpg,640,480,pitcher,193,116,414,375
pitcher_000131.jpg,640,480,pitcher,254,129,437,381
pitcher_000094.jpg,640,480,pitcher,244,95,439,390
pitcher_000155.jpg,640,480,pitcher,235,129,452,387
pitcher_000081.jpg,640,480,pitcher,242,99,437,342
pitcher_000124.jpg,640,480,pitcher,207,131,435,371
pitcher_000030.jpg,640,480,pitcher,239,70,449,317
pitcher_000052.jpg,640,480,pitcher,227,71,460,336
pitcher_000111.jpg,640,480,pitcher,213,117,410,379
pitcher_000066.jpg,640,480,pitcher,213,64,407,347
pitcher_000151.jpg,640,480,pitcher,255,159,478,370
pitcher_000156.jpg,640,480,pitcher,237,135,443,402
pitcher_000090.jpg,640,480,pitcher,263,111,452,370
pitcher_000126.jpg,640,480,pitcher,228,119,442,364
pitcher_000067.jpg,640,480,pitcher,212,59,398,327
pitcher_000068.jpg,640,480,pitcher,210,61,402,319
pitcher_000026.jpg,640,480,pitcher,219,86,448,331
pitcher_000010.jpg,640,480,pitcher,243,95,475,346
pitcher_000045.jpg,640,480,pitcher,258,47,440,316
pitcher_000040.jpg,640,480,pitcher,268,54,444,320
pitcher_000095.jpg,640,480,pitcher,238,117,442,370
pitcher_000058.jpg,640,480,pitcher,213,82,460,331
pitcher_000008.jpg,640,480,pitcher,262,95,490,347
pitcher_000035.jpg,640,480,pitcher,267,61,442,321
pitcher_000005.jpg,640,480,pitcher,254,92,488,346
pitcher_000105.jpg,640,480,pitcher,210,96,462,386
